min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,depth,accuracy_train,accuracy_test
1,0.0,replacement,1,1300,7,0.01,2.5,2,0.33825754807500785,0.27438843559868187
3,0.1,replacement,3,400,10,0.2,2.5,5,0.7308325318593017,0.09685028486754788
2,0.25,replacement,3,200,10,0.01,1.2,2,0.20042910111795387,0.08624804359480942
3,0.0,replacement,1,800,4,0.05,2.0,3,0.5426498767110952,0.2605900554138424
3,0.2,replacement,3,800,40,0.15,2.0,3,0.671101537357885,0.12639198436833998
1,0.0,replacement,2,200,10,0.1,1.2,7,0.5992188812375159,0.30041304016819736
3,0.1,removal,2,400,40,0.2,2.5,5,0.6779946890013266,0.1417824269669382
3,0.2,removal,2,200,40,0.2,1.2,2,0.4801042973504539,0.18323942634419954
3,0.2,replacement,1,1000,10,0.05,1.5,2,0.505278667697612,0.2063073111599667
3,0.2,replacement,2,200,40,0.05,2.5,3,0.40706428874890266,0.2198593972311802
0,0.25,replacement,2,600,7,0.05,2.5,7,0.6623355887798987,0.20565298665353604
0,0.1,removal,1,800,40,0.01,1.2,2,0.3207866439740561,0.1451962910132789
3,0.25,replacement,3,1600,10,0.2,2.0,3,0.7529445528817151,0.12059363858888772
3,0.25,replacement,3,1300,13,0.15,1.2,7,0.8452808436661987,0.003565700728454524
2,0.0,removal,3,200,7,0.1,1.5,5,0.5507414420005569,0.09199590216188758
0,0.1,replacement,3,1000,4,0.1,1.2,5,0.7010045945264646,0.28957455341920657
3,0.2,replacement,3,400,7,0.15,1.0,3,0.6134249087520894,0.1726177854369968
3,0.25,removal,1,1000,4,0.01,2.5,3,0.41338960485560405,0.19235599001549297
2,0.2,removal,1,1600,13,0.2,1.0,5,0.7649538755341997,0.24797661758479483
0,0.0,replacement,3,400,7,0.2,2.0,3,0.5665552933631526,0.26762360429583365
3,0.0,replacement,1,1000,10,0.2,2.0,7,0.7852102118562037,0.21191616450304285
2,0.2,removal,1,600,13,0.05,1.5,2,0.43753798904933994,0.2972192549524384
2,0.2,removal,3,600,4,0.1,1.0,2,0.5149915286070772,0.06805476147977263
3,0.1,replacement,2,1300,7,0.05,1.0,2,0.5299425333500968,0.23408699683731438
0,0.1,removal,3,1000,4,0.1,1.5,2,0.5159349401862886,0.2862352675952272
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
